City,Year,Latitude,Longitude,Historical_Event_Count,Frequency_Past_EQ,Average_Magnitude,Time_Since_Last_Event,Nearby_Fault_Activity,Seismic_Zone,Proximity_to_Fault_Line_km,Soil_Type,Depth_km,Magnitude,Predicted_Hazard_Level,Building_Type,Building_Age_Years,Building_Material,Population_Density,Predicted_Damage_Level,Estimated_Damage_Percent,Average_Building_Value_INR,Number_of_Structures,Insurance_Coverage,Estimated_Financial_Loss_INR,Estimated_Insurance_Recovery_INR,Net_Economic_Impact_INR,Risk_Propensity_Score,Hazard_Scenario_Type,Disaster_Preparedness_Index,Infrastructure_Density,Economic_Resilience_Score,Time_to_Recovery_Days
Osaka,1743,35.6181,144.2607,71,3.03,4.55,82,Low,II,5.0,Soft,34.9,5.3,Low,Commercial,24,Wood,Medium,Low,60.33,3764167.37,353,Partial,801635527.54,400817763.77,400817763.77,0.85,Worst case,0.29,9.91,0.27,489
Hiroshima,1929,39.1748,130.106,88,1.53,6.14,41,Moderate,II,2.33,Stiff,68.3,4.9,Low,Residential,62,Brick,Low,Moderate,71.74,10784015.33,576,None,4456196696.3,0.0,4456196696.3,0.98,Likely,0.52,43.14,0.71,196
Kobe,1663,30.199,144.133,13,4.06,5.07,52,High,II,11.54,Stiff,20.7,6.7,Moderate,Hospital,44,Brick,Low,Moderate,47.09,2685037.53,215,None,271842597.17,0.0,271842597.17,0.45,Worst case,0.26,38.01,0.48,595
Tokyo,1542,38.2007,132.7728,62,4.23,5.57,73,High,II,44.74,Soft,43.9,7.7,Moderate,High-rise,72,Brick,Low,High,53.49,26520878.74,711,Partial,10086258825.04,5043129412.52,5043129412.52,0.39,Likely,0.45,14.3,0.85,246
Kobe,1770,34.214,138.1404,40,1.55,4.58,88,Low,V,49.34,Stiff,55.2,4.8,Moderate,Hospital,88,Steel,High,Moderate,6.2,10743277.8,401,Partial,267099372.66,133549686.33,133549686.33,0.76,Best case,0.79,4.63,0.42,70
Yokohama,1652,43.7244,142.7506,11,1.72,4.22,22,High,II,33.44,Stiff,48.3,6.4,Low,Residential,86,Wood,Low,Moderate,80.41,24138531.33,622,Partial,12072891272.41,6036445636.205,6036445636.205,0.97,Worst case,0.86,36.36,0.31,427
Sapporo,1870,37.4069,137.841,14,0.64,5.54,50,Moderate,V,1.57,Stiff,46.4,5.3,Moderate,Hospital,96,Wood,Medium,Low,64.12,7827241.27,240,Full,1204518504.56,1204518504.56,0.0,0.47,Best case,0.78,12.21,0.17,728
Sendai,1758,40.4218,143.207,41,4.06,6.22,5,Low,V,22.83,Stiff,19.2,5.7,Moderate,School,62,Wood,High,High,50.84,40564567.6,357,None,7362420341.92,0.0,7362420341.92,0.42,Likely,0.92,14.33,0.68,662
Kobe,1964,42.2702,142.911,69,2.6,5.46,36,Moderate,V,34.62,Rocky,22.5,5.0,Low,High-rise,59,Concrete,Low,Moderate,32.47,26420740.47,242,Partial,2076073092.21,1038036546.105,1038036546.105,0.46,Likely,0.16,13.44,0.32,415
Sendai,1909,40.6841,132.2213,55,0.28,6.13,1,High,III,20.55,Soft,7.1,5.4,Moderate,Commercial,1,Mixed,Low,High,25.36,8099848.73,693,None,1423506295.08,0.0,1423506295.08,0.5,Likely,0.6,30.04,0.17,213
Osaka,1993,33.5646,140.9232,23,2.4,7.44,85,Moderate,II,26.79,Soft,10.9,7.3,Low,Commercial,59,Concrete,Low,Moderate,20.85,2997981.94,669,Full,418178007.87,418178007.87,0.0,0.39,Worst case,0.3,35.85,0.83,177
Sendai,1755,39.6776,132.6155,32,2.05,5.81,0,Moderate,III,33.78,Soft,52.8,4.8,Moderate,Commercial,31,Steel,Low,High,79.57,13639139.76,773,Full,8389108890.94,8389108890.94,0.0,0.26,Likely,0.98,26.32,0.33,333
Tokyo,1787,44.4813,138.3744,31,3.2,5.19,98,High,III,35.02,Rocky,60.0,7.4,Moderate,High-rise,54,Steel,Low,Moderate,71.29,32459550.66,596,Full,13791686544.65,13791686544.65,0.0,0.94,Likely,0.81,33.78,0.62,141
Tokyo,1566,31.5221,139.9525,92,1.49,5.07,65,High,IV,34.59,Rocky,47.4,4.9,Low,Residential,33,Steel,Low,High,6.54,25200792.04,825,Full,1359708734.52,1359708734.52,0.0,0.77,Worst case,0.68,42.61,0.69,62
Niigata,1828,38.1381,137.6322,85,1.4,4.85,37,High,V,48.94,Rocky,36.6,7.6,Moderate,Residential,27,Steel,High,Low,72.56,25629217.56,293,Partial,5448792156.63,2724396078.315,2724396078.315,0.7,Best case,0.88,12.28,0.55,545
Sapporo,1996,30.3647,139.6821,16,4.97,5.64,45,Moderate,IV,45.74,Soft,29.1,4.1,High,High-rise,24,Mixed,High,Low,33.11,28085483.37,616,None,5728247782.99,0.0,5728247782.99,0.97,Best case,0.87,15.43,0.45,190
Fukuoka,1770,34.7538,132.5424,24,2.03,6.95,66,Moderate,IV,28.5,Stiff,11.3,6.5,High,School,86,Wood,High,Low,35.48,13454018.8,499,Full,2381969449.25,2381969449.25,0.0,0.89,Likely,0.77,35.15,0.73,205
Osaka,1642,38.2923,134.4477,25,4.07,7.03,12,High,V,4.08,Rocky,5.3,6.5,High,High-rise,20,Brick,High,High,60.25,35396376.99,409,Full,8722463708.82,8722463708.82,0.0,0.15,Worst case,0.9,2.35,0.62,80
Fukuoka,1624,36.984,138.1397,21,3.0,4.11,51,Low,IV,1.94,Rocky,24.7,6.1,High,High-rise,97,Wood,Low,Low,75.37,14305602.88,629,None,6781961588.22,0.0,6781961588.22,0.66,Best case,0.18,3.53,0.58,76
